,id,name,abbrev,celestial_body
0,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
1,19,Mars Orbit,Mars,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
2,19,Mars Orbit,Mars,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
3,2,Geostationary Transfer Orbit,GTO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
4,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
5,0,Elliptical Orbit,Elliptical,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
6,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
7,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
8,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
9,16,Sun-Earth L2,L2,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
10,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
11,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
12,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
13,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
14,9,Lunar flyby,Lunar flyby,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
15,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
16,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
17,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
18,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
19,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
20,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
21,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
22,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
23,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
24,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
25,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
26,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
27,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
28,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
29,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
30,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
31,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
32,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
33,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
34,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
35,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
36,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
